SCHUL_RDNMA,SCHUL_NM,LTTUD,LGTUD,least_dis,least_center
서울특별시 강서구 강서로47길 34-10,명덕고등학교,37.5,126.8,1.6348235807646199,괴안
서울특별시 강서구 강서로47길 34-10,명덕여자고등학교,37.553986,126.834305,0.29661855715914387,발산
서울특별시 광진구 광나루로36길 47,동국대학교사범대학부속여자고등학교,37.543182,127.08697,0.4786136279128022,구의
서울특별시 강동구 명일로 350,명일여자고등학교,37.549778,127.14958,0.5572691673268665,강동_고덕
서울특별시 서대문구 명지2길 56,명지고등학교,37.58425,126.92738,1.2091982749414867,서대문_연희
서울특별시 성동구 고산자로 197,무학여자고등학교,37.556767,127.0336,0.4101384487677745,왕십리(구 행당)
서울특별시 관악구 관악로 85,서울문영여자고등학교,37.473415,126.95108,0.18435887383558,관악
서울특별시 금천구 시흥대로47길 45,문일고등학교,37.449123,126.89897,0.17231959929409713,구로_시흥
서울특별시 관악구 호암로 546,미림여자고등학교,37.46676,126.93327,1.5508610340915945,봉천
서울특별시 서초구 고무래로 71,반포고등학교,37.502705,127.01651,0.5972078891297212,잠원
서울특별시 송파구 삼학사로 11,배명고등학교,37.498817,127.0957,0.6044222094178888,잠실
서울특별시 용산구 효창원로 258,배문고등학교,37.550312,126.96427,0.5008364560514883,공덕
서울특별시 강동구 고덕로 227,배재고등학교,37.556087,127.15098,0.12222908234335912,강동_고덕
서울특별시 종로구 필운대로1길 34,배화여자고등학교,37.57837,126.96691,0.5252939765026234,신교
서울특별시 양천구 신정로13길 16,백암고등학교,37.51193,126.844864,0.3579636398440975,신트리
서울특별시 송파구 양재대로 1278,보성고등학교,37.5194,127.13528,0.14647552772859057,방이
서울특별시 용산구 신흥로3가길 66,보성여자고등학교,37.54308,126.98428,0.8115509101595099,후암
서울특별시 관악구 신림로 41,삼성고등학교,37.46914,126.943665,1.056674632765591,관악
서울특별시 노원구 노해로 432,상계고등학교,37.652725,127.05546,1.3637298574334724,창동
서울특별시 종로구 홍지문2길 20,상명대학교사범대학부속여자고등학교,37.603516,126.953835,0.7944102467099102,신영
서울특별시 노원구 덕릉로 553,상명고등학교,37.649548,127.06805,0.5426192414092058,상계
서울특별시 서초구 명달로 45,상문고등학교,37.479755,127.003914,1.55015173735727,잠원
서울특별시 강동구 천호대로219길 61,상일여자고등학교,37.54922,127.16963,2.0466257700671577,강동_고덕
서울특별시 노원구 한글비석로5길 18,서라벌고등학교,37.64524,127.075836,0.7041785840845474,하계
서울특별시 서초구 동광로12길 84,서문여자고등학교,37.5,127.0,0.902675645364971,반포
서울특별시 서초구 효령로 197,서울고등학교,37.48429,127.004906,1.2384179325896405,잠원
서울특별시 관악구 남부순환로247길 26,서울미술고등학교,37.477055,126.96698,1.3291515057976808,동작_백운
서울특별시 강남구 광평로51길 36,서울세종고등학교,37.4903,127.10238,0.7593613288544714,가락
서울특별시 마포구 백범로25길 34,서울여자고등학교,37.548077,126.94819,0.5142452092206891,염리
서울특별시 송파구 강동대로 232,서울체육고등학교,37.52176,127.13059,0.6782045648241302,방이
서울특별시 서초구 반포대로27길 29,서초고등학교,37.489613,127.00538,0.9381724395693348,잠원
서울특별시 성북구 한천로70길 30,석관고등학교,37.60959,127.06672,1.0269817696505272,장위
서울특별시 도봉구 시루봉로 53,선덕고등학교,37.65508,127.02615,0.46667235912953053,쌍문
서울특별시 은평구 갈현로29길 27,선일여자고등학교,37.61914,126.91287,0.9761700604109965,역촌
서울특별시 은평구 서오릉로20길 19,선정고등학교,37.618706,126.909035,0.9336186573658662,역촌
서울특별시 동작구 대방동길 74,성남고등학교,37.506077,126.926216,0.5333116966464255,신길
서울특별시 중구 퇴계로90길 17,성동고등학교,37.564163,127.022385,0.7094974109622801,성동_금호
서울특별시 관악구 남부순환로156길 39,성보고등학교,37.479816,126.919716,0.49034738264273814,난곡
서울특별시 성북구 동소문로26가길 80,성신여자고등학교,37.594288,127.02241,0.6728777373665242,길음
서울특별시 용산구 원효로19길 49,성심여자고등학교,37.534367,126.95373,1.0319227035608984,염리
서울특별시 서초구 신반포로 56-7,세화고등학교,37.501953,126.991615,0.23699179653552446,반포
서울특별시 서초구 신반포로 56-7,세화여자고등학교,37.502182,126.993286,0.2913002579989551,반포
